# Node positions after deformation (x, y, z)
# Node_ID x y z
0 0 0 0
1 10 0 0
2 0 0 9.38083
3 10 0 9.38083
4 0 -10 0
5 10 -10 0
6 0 -10 9.38083
7 10 -10 9.38083
