# time	x	y	stress_xx	strain_xx
0.0834841302	0.1393676363	0.0769825325	3261.6286837303	-1.1368544899
0.0844328135	0.1394065937	0.0758590603	3297.0576025079	-1.1504045810
0.0853814968	0.1394444323	0.0747294332	3323.8481042275	-1.1640817281
0.0863301801	0.1394809368	0.0735932559	3344.8465536772	-1.1778588376
0.0872788634	0.1395162262	0.0724505737	3363.8840278559	-1.1917321752
0.0882275467	0.1395502774	0.0713014085	3382.8488619480	-1.2057017664
0.0891762300	0.1395830664	0.0701458295	3401.6112106182	-1.2197670864
0.0901249133	0.1396145645	0.0689839160	3420.2461308525	-1.2339279649
0.0910735966	0.1396444937	0.0678156883	3439.8014996885	-1.2481836092
0.0920222799	0.1396721627	0.0666396125	3440.6528810785	-1.2624716251
0.0929709632	0.1396971164	0.0654529163	3436.3852342444	-1.2767755566
0.0939196465	0.1397193755	0.0642543941	3424.1579455156	-1.2910622831
0.0948683298	0.1397384788	0.0630426385	3420.8234936176	-1.3053739383
0.0958170131	0.1397540727	0.0618222165	3404.5398813398	-1.3196609973
0.0967656964	0.1397660978	0.0605942198	3386.5695119609	-1.3339175296
0.0977143797	0.1397742842	0.0593595655	3369.9927358694	-1.3481447212
0.0986630630	0.1397789108	0.0581192250	3351.6713925553	-1.3623399919
0.0996117463	0.1397797960	0.0568741778	3332.0746331197	-1.3765005470
0.1005604296	0.1397764842	0.0556253195	3307.3503171954	-1.3906100583
0.1015091129	0.1397690299	0.0543729239	3275.4119671065	-1.4046380202
0.1024577962	0.1397576217	0.0531162574	3246.1675929189	-1.4185941356
0.1034064795	0.1397423876	0.0518557994	3215.9414078647	-1.4324732451
0.1043551628	0.1397240054	0.0505951067	2660.4325539293	-1.4440808968
0.1053038461	0.1397028932	0.0493424835	2641.7675867648	-1.4556375179
0.1062525294	0.1396789843	0.0480995101	2627.1852179930	-1.4671514155
0.1072012127	0.1396525512	0.0468669542	2610.5671045971	-1.4786188582
0.1081498960	0.1396239372	0.0456431632	2590.9342241428	-1.4900240959
0.1090985793	0.1395936980	0.0444270938	2570.0105204706	-1.5013556881
0.1100472626	0.1395623324	0.0432188601	2549.3466887591	-1.5126090436
0.1109959459	0.1395301009	0.0420190271	2528.6357013517	-1.5237809713
0.1119446292	0.1394971908	0.0408271569	2506.0445878984	-1.5348605675
0.1128933125	0.1394638604	0.0396394516	2474.5360700423	-1.5458090908
0.1138419958	0.1394301427	0.0384567799	2442.1233488039	-1.5566211534
0.1147906791	0.1393960902	0.0372798347	2409.2949490770	-1.5672908955
0.1157393624	0.1393615445	0.0361086726	2371.0866174285	-1.5778014963
0.1166880457	0.1393266395	0.0349448844	2333.0559741535	-1.5881521362
0.1176367290	0.1392916923	0.0337900560	2296.0221447277	-1.5983433600
0.1185854123	0.1392569339	0.0326455798	2259.2618418479	-1.6083737956
0.1195340956	0.1392227430	0.0315126083	2222.6221617630	-1.6182405558
0.1204827789	0.1391890618	0.0303928378	2186.4330946844	-1.6279449342
0.1214314622	0.1391556752	0.0292879199	2150.7965955892	-1.6374887319
0.1223801454	0.1391226511	0.0281990206	2113.7720745367	-1.6468683129
0.1233288287	0.1390899057	0.0271273235	2075.8758362854	-1.6560813419
0.1242775120	0.1390574759	0.0260735107	2036.1249997560	-1.6651207932
0.1252261953	0.1390255326	0.0250387065	1997.1432631590	-1.6739870103
0.1261748786	0.1389942012	0.0240242357	1959.4757485326	-1.6826835052
0.1271235619	0.1389633698	0.0230306625	1920.3810994323	-1.6912044518
0.1280722452	0.1389331292	0.0220593259	1881.9399466093	-1.6995542944
0.1290209285	0.1389034068	0.0211110788	1843.5740550463	-1.7077336437
0.1299696118	0.1388741230	0.0201875398	1808.0889179510	-1.7157557588
0.1309182951	0.1388453485	0.0192905819	1778.0265805782	-1.7236428156
0.1318669784	0.1388170881	0.0184223034	1755.6886514654	-1.7314263290
0.1328156617	0.1387892410	0.0175836686	1737.5984260481	-1.7391247390
0.1337643450	0.1387616621	0.0167749267	1721.4357057926	-1.7467477677
0.1347130283	0.1387343725	0.0159968844	1711.1549136741	-1.7543196366
0.1356617116	0.1387074068	0.0152493956	1703.5396327619	-1.7618511199
0.1366103949	0.1386807957	0.0145319623	1697.4999402400	-1.7693482988
0.1375590782	0.1386546405	0.0138441827	1694.2145034205	-1.7768212723
0.1385077615	0.1386290790	0.0131852875	1692.2823959502	-1.7842739461
0.1394564448	0.1386041578	0.0125543374	1690.4737708051	-1.7917061774
0.1404051281	0.1385799121	0.0119504003	1688.7272318879	-1.7991177257
0.1413538114	0.1385563685	0.0113725525	1686.9796644696	-1.8065082295
0.1423024947	0.1385335465	0.0108198814	1685.1763921008	-1.8138772255
