# time	x_num	v_num	x_ana	v_ana
0.7500000000	12.5509113408	0.0632051831	12.5510918818	0.0630036755
0.7692307692	12.5521150480	0.0628167339	12.5522997318	0.0626111960
0.7884615385	12.5533111497	0.0624190177	12.5534999461	0.0622095754
0.8076923077	12.5544994710	0.0620120866	12.5546923495	0.0617988722
0.8269230769	12.5556798381	0.0615959941	12.5558767680	0.0613791466
0.8461538462	12.5568520785	0.0611707948	12.5570530285	0.0609504597
0.8653846154	12.5580160207	0.0607365444	12.5582209594	0.0605128741
0.8846153846	12.5591714945	0.0602933001	12.5593803901	0.0600664537
0.9038461538	12.5603183308	0.0598411200	12.5605311514	0.0596112638
0.9230769231	12.5614563619	0.0593800638	12.5616730752	0.0591473707
0.9423076923	12.5625854213	0.0589101924	12.5628059949	0.0586748422
0.9615384615	12.5637053437	0.0584315679	12.5639297450	0.0581937472
0.9807692308	12.5648159652	0.0579442541	12.5650441615	0.0577041561
1.0000000000	12.5659171231	0.0574483160	12.5661490816	0.0572061403
1.0192307692	12.5670086562	0.0569438202	12.5672443441	0.0566997725
1.0384615385	12.5680904044	0.0564308350	12.5683297890	0.0561851266
1.0576923077	12.5691622093	0.0559094300	12.5694052579	0.0556622777
1.0769230769	12.5702239137	0.0553796767	12.5704705938	0.0551313023
1.0961538462	12.5712753617	0.0548416483	12.5715256410	0.0545922778
1.1153846154	12.5723163991	0.0542954199	12.5725702457	0.0540452829
1.1346153846	12.5733468729	0.0537410684	12.5736042552	0.0534903975
1.1538461538	12.5743666317	0.0531786726	12.5746275186	0.0529277026
1.1730769231	12.5753755256	0.0526083135	12.5756398865	0.0523572803
1.1923076923	12.5763734062	0.0520300741	12.5766412112	0.0517792140
1.2115384615	12.5773601266	0.0514440396	12.5776313463	0.0511935880
1.2307692308	12.5783355415	0.0508502974	12.5786101474	0.0506004878
1.2500000000	12.5792995071	0.0502489373	12.5795774715	0.0500000000
1.2692307692	12.5802518813	0.0496400514	12.5805331775	0.0493922123
1.2884615385	12.5811925236	0.0490237343	12.5814771258	0.0487772134
1.3076923077	12.5821212952	0.0484000828	12.5824091785	0.0481550932
1.3269230769	12.5830380590	0.0477691966	12.5833291997	0.0475259424
1.3461538462	12.5839426794	0.0471311777	12.5842370549	0.0468898528
1.3653846154	12.5848350229	0.0464861307	12.5851326117	0.0462469175
1.3846153846	12.5857149575	0.0458341628	12.5860157392	0.0455972301
1.4038461538	12.5865823532	0.0451753838	12.5868863086	0.0449408857
1.4230769231	12.5874370816	0.0445099060	12.5877441928	0.0442779799
1.4423076923	12.5882790163	0.0438378444	12.5885892664	0.0436086097
1.4615384615	12.5891080330	0.0431593163	12.5894214062	0.0429328727
1.4807692308	12.5899240091	0.0424744417	12.5902404906	0.0422508675
1.5000000000	12.5907268239	0.0417833428	12.5910464000	0.0415626938
1.5192307692	12.5915163589	0.0410861443	12.5918390168	0.0408684520
1.5384615385	12.5922924976	0.0403829731	12.5926182253	0.0401682435
1.5576923077	12.5930551256	0.0396739582	12.5933839117	0.0394621704
1.5769230769	12.5938041305	0.0389592306	12.5941359642	0.0387503360
1.5961538462	12.5945394020	0.0382389233	12.5948742729	0.0380328441
1.6153846154	12.5952608322	0.0375131710	12.5955987303	0.0373097995
1.6346153846	12.5959683153	0.0367821099	12.5963092303	0.0365813077
1.6538461538	12.5966617477	0.0360458777	12.5970056694	0.0358474750
1.6730769231	12.5973410280	0.0353046134	12.5976879458	0.0351084088
1.6923076923	12.5980060572	0.0345584569	12.5983559599	0.0343642167
1.7115384615	12.5986567387	0.0338075491	12.5990096143	0.0336150075
1.7307692308	12.5992929782	0.0330520312	12.5996488134	0.0328608906
1.7500000000	12.5999146836	0.0322920453	12.6002734639	0.0321019761
1.7692307692	12.6005217655	0.0315277332	12.6008834747	0.0313383747
1.7884615385	12.6011141367	0.0307592369	12.6014787567	0.0305701980
1.8076923077	12.6016917126	0.0299866981	12.6020592230	0.0297975581
1.8269230769	12.6022544109	0.0292102578	12.6026247888	0.0290205678
1.8461538462	12.6028021519	0.0284300565	12.6031753715	0.0282393405
1.8653846154	12.6033348583	0.0276462335	12.6037108908	0.0274539904
1.8846153846	12.6038524554	0.0268589271	12.6042312685	0.0266646320
1.9038461538	12.6043548710	0.0260682738	12.6047364286	0.0258713806
1.9230769231	12.6048420353	0.0252744088	12.6052262974	0.0250743520
1.9423076923	12.6053138811	0.0244774652	12.6057008033	0.0242736627
1.9615384615	12.6057703437	0.0236775742	12.6061598771	0.0234694294
1.9807692308	12.6062113609	0.0228748646	12.6066034517	0.0226617696
2.0000000000	12.6066368729	0.0220694631	12.6070314624	0.0218508012
2.0192307692	12.6070468228	0.0212614933	12.6074438467	0.0210366427
2.0384615385	12.6074411556	0.0204510767	12.6078405444	0.0202194128
2.0576923077	12.6078198192	0.0196383317	12.6082214975	0.0193992310
2.0769230769	12.6081827638	0.0188233737	12.6085866505	0.0185762169
2.0961538462	12.6085299422	0.0180063154	12.6089359500	0.0177504907
2.1153846154	12.6088613094	0.0171872664	12.6092693450	0.0169221729
2.1346153846	12.6091768229	0.0163663331	12.6095867869	0.0160913846
2.1538461538	12.6094764427	0.0155436191	12.6098882294	0.0152582469
2.1730769231	12.6097601310	0.0147192249	12.6101736283	0.0144228815
2.1923076923	12.6100278525	0.0138932479	12.6104429421	0.0135854105
2.2115384615	12.6102795741	0.0130657828	12.6106961314	0.0127459560
2.2307692308	12.6105152649	0.0122369214	12.6109331592	0.0119046406
2.2500000000	12.6107348965	0.0114067529	12.6111539910	0.0110615871
2.2692307692	12.6109384427	0.0105753639	12.6113585945	0.0102169187
2.2884615385	12.6111258793	0.0097428387	12.6115469399	0.0093707586
2.3076923077	12.6112971844	0.0089092593	12.6117189996	0.0085232304
2.3269230769	12.6114523385	0.0080747061	12.6118747485	0.0076744578
2.3461538462	12.6115913238	0.0072392572	12.6120141638	0.0068245648
2.3653846154	12.6117141250	0.0064029898	12.6121372253	0.0059736754
2.3846153846	12.6118207287	0.0055659794	12.6122439150	0.0051219138
2.4038461538	12.6119111237	0.0047283008	12.6123342172	0.0042694045
2.4230769231	12.6119853006	0.0038900282	12.6124081189	0.0034162718
2.4423076923	12.6120432524	0.0030512351	12.6124656091	0.0025626404
