# time	x_num	v_num	x_ana	v_ana
0.7307692308	12.2281928830	0.0622898100	12.2283492712	0.0620976771
0.7500000000	12.2293796823	0.0619185787	12.2295398614	0.0617221918
0.7692307692	12.2305591928	0.0615382717	12.2307231439	0.0613376953
0.7884615385	12.2317312417	0.0611489456	12.2318989461	0.0609442435
0.8076923077	12.2328956575	0.0607506589	12.2330670962	0.0605418940
0.8269230769	12.2340522697	0.0603434714	12.2342274238	0.0601307055
0.8461538462	12.2352009090	0.0599274445	12.2353797594	0.0597107380
0.8653846154	12.2363414073	0.0595026410	12.2365239348	0.0592820529
0.8846153846	12.2374735977	0.0590691255	12.2376597829	0.0588447126
0.9038461538	12.2385973145	0.0586269636	12.2387871379	0.0583987811
0.9230769231	12.2397123932	0.0581762227	12.2399058352	0.0579443236
0.9423076923	12.2408186708	0.0577169713	12.2410157115	0.0574814062
0.9615384615	12.2419159852	0.0572492795	12.2421166047	0.0570100966
0.9807692308	12.2430041761	0.0567732184	12.2432083542	0.0565304637
1.0000000000	12.2440830841	0.0562888606	12.2442908004	0.0560425774
1.0192307692	12.2451525514	0.0557962798	12.2453637855	0.0555465090
1.0384615385	12.2462124215	0.0552955507	12.2464271526	0.0550423309
1.0576923077	12.2472625394	0.0547867495	12.2474807467	0.0545301168
1.0769230769	12.2483027514	0.0542699529	12.2485244138	0.0540099413
1.0961538462	12.2493329053	0.0537452391	12.2495580016	0.0534818804
1.1153846154	12.2503528503	0.0532126868	12.2505813591	0.0529460113
1.1346153846	12.2513624372	0.0526723760	12.2515943371	0.0524024122
1.1538461538	12.2523615181	0.0521243872	12.2525967875	0.0518511624
1.1730769231	12.2533499468	0.0515688019	12.2535885640	0.0512923424
1.1923076923	12.2543275784	0.0510057021	12.2545695219	0.0507260339
1.2115384615	12.2552942699	0.0504351708	12.2555395178	0.0501523194
1.2307692308	12.2562498795	0.0498572913	12.2564984103	0.0495712827
1.2500000000	12.2571942671	0.0492721477	12.2574460592	0.0489830088
1.2692307692	12.2581272945	0.0486798247	12.2583823263	0.0483875834
1.2884615385	12.2590488246	0.0480804075	12.2593070749	0.0477850935
1.3076923077	12.2599587223	0.0474739816	12.2602201698	0.0471756271
1.3269230769	12.2608568540	0.0468606334	12.2611214779	0.0465592730
1.3461538462	12.2617430879	0.0462404494	12.2620108675	0.0459361215
1.3653846154	12.2626172937	0.0456135168	12.2628882088	0.0453062633
1.3846153846	12.2634793431	0.0449799233	12.2637533737	0.0446697905
1.4038461538	12.2643291093	0.0443397570	12.2646062359	0.0440267960
1.4230769231	12.2651664674	0.0436931065	12.2654466708	0.0433773736
1.4423076923	12.2659912941	0.0430400609	12.2662745558	0.0427216182
1.4615384615	12.2668034680	0.0423807101	12.2670897700	0.0420596256
1.4807692308	12.2676028696	0.0417151445	12.2678921943	0.0413914923
1.5000000000	12.2683893813	0.0410434550	12.2686817117	0.0407173159
1.5192307692	12.2691628870	0.0403657334	12.2694582068	0.0400371948
1.5384615385	12.2699232730	0.0396820723	12.2702215664	0.0393512284
1.5576923077	12.2706704271	0.0389925651	12.2709716788	0.0386595168
1.5769230769	12.2714042393	0.0382973060	12.2717084347	0.0379621610
1.5961538462	12.2721246014	0.0375963906	12.2724317264	0.0372592627
1.6153846154	12.2728314074	0.0368899152	12.2731414484	0.0365509247
1.6346153846	12.2735245532	0.0361779775	12.2738374970	0.0358372503
1.6538461538	12.2742039368	0.0354606764	12.2745197706	0.0351183437
1.6730769231	12.2748694582	0.0347381123	12.2751881696	0.0343943099
1.6923076923	12.2755210195	0.0340103869	12.2758425965	0.0336652546
1.7115384615	12.2761585252	0.0332776036	12.2764829556	0.0329312842
1.7307692308	12.2767818816	0.0325398673	12.2771091535	0.0321925059
1.7500000000	12.2773909974	0.0317972849	12.2777210988	0.0314490275
1.7692307692	12.2779857835	0.0310499650	12.2783187021	0.0307009577
1.7884615385	12.2785661531	0.0302980179	12.2789018761	0.0299484056
1.8076923077	12.2791320215	0.0295415561	12.2794705358	0.0291914810
1.8269230769	12.2796833065	0.0287806942	12.2800245981	0.0284302945
1.8461538462	12.2802199280	0.0280155487	12.2805639821	0.0276649573
1.8653846154	12.2807418086	0.0272462382	12.2810886090	0.0268955810
1.8846153846	12.2812488729	0.0264728837	12.2815984023	0.0261222780
1.9038461538	12.2817410481	0.0256956081	12.2820932876	0.0253451613
1.9230769231	12.2822182637	0.0249145365	12.2825731925	0.0245643441
1.9423076923	12.2826804519	0.0241297963	12.2830380470	0.0237799406
1.9615384615	12.2831275471	0.0233415168	12.2834877833	0.0229920653
1.9807692308	12.2835594861	0.0225498296	12.2839223357	0.0222008332
2.0000000000	12.2839762085	0.0217548681	12.2843416408	0.0214063598
2.0192307692	12.2843776562	0.0209567676	12.2847456372	0.0206087611
2.0384615385	12.2847637735	0.0201556653	12.2851342661	0.0198081535
2.0576923077	12.2851345075	0.0193517001	12.2855074707	0.0190046540
2.0769230769	12.2854898076	0.0185450124	12.2858651966	0.0181983799
2.0961538462	12.2858296258	0.0177357439	12.2862073914	0.0173894488
2.1153846154	12.2861539166	0.0169240378	12.2865340052	0.0165779789
2.1346153846	12.2864626371	0.0161100379	12.2868449904	0.0157640886
2.1538461538	12.2867557469	0.0152938894	12.2871403016	0.0149478968
2.1730769231	12.2870332081	0.0144757375	12.2874198956	0.0141295227
2.1923076923	12.2872949852	0.0136557283	12.2876837315	0.0133090856
2.2115384615	12.2875410453	0.0128340078	12.2879317710	0.0124867055
2.2307692308	12.2877713581	0.0120107219	12.2881639778	0.0116625023
2.2500000000	12.2879858957	0.0111860164	12.2883803179	0.0108365964
2.2692307692	12.2881846324	0.0103600361	12.2885807598	0.0100091083
2.2884615385	12.2883675453	0.0095329254	12.2887652742	0.0091801590
2.3076923077	12.2885346138	0.0087048272	12.2889338342	0.0083498694
2.3269230769	12.2886858196	0.0078758832	12.2890864152	0.0075183607
2.3461538462	12.2888211468	0.0070462336	12.2892229949	0.0066857543
2.3653846154	12.2889405819	0.0062160165	12.2893435534	0.0058521719
2.3846153846	12.2890441137	0.0053853680	12.2894480730	0.0050177350
2.4038461538	12.2891317332	0.0045544218	12.2895365385	0.0041825656
2.4230769231	12.2892034338	0.0037233092	12.2896089370	0.0033467855
2.4423076923	12.2892592110	0.0028921587	12.2896652579	0.0025105167
2.4615384615	12.2892990626	0.0020610959	12.2897054930	0.0016738815
2.4807692308	12.2893229886	0.0012302432	12.2897296364	0.0008370018
