# time	x	y	stress_xx	strain_xx
0.1909188309	0.1377351191	0.0001560305	2862.8060863327	-26.4420507903
0.1979898987	0.1377327997	0.0000853566	2857.4873043210	-27.6297204186
0.2050609665	0.1377315816	0.0000459465	2851.6268593296	-28.8149395431
0.2121320344	0.1377309415	0.0000243361	2845.4942638947	-29.9976015230
0.2192031022	0.1377306029	0.0000126830	2839.2483738009	-31.1776627829
0.2262741700	0.1377304053	0.0000065036	2832.9756486418	-32.3551141802
0.2333452378	0.1377302880	0.0000032811	2826.7150380498	-33.5299617129
0.2404163056	0.1377302195	0.0000016284	2820.4712500232	-34.7022128939
0.2474873734	0.1377301806	0.0000007948	2814.2275009496	-35.8718680504
0.2545584412	0.1377301591	0.0000003814	2807.9584292217	-37.0389168501
0.2616295090	0.1377301477	0.0000001799	2801.6432816617	-38.2033402611
0.2687005769	0.1377301418	0.0000000834	2795.2765858750	-39.3651169293
0.2757716447	0.1377301388	0.0000000379	2788.8733388669	-40.5242317030
0.2828427125	0.1377301374	0.0000000169	2782.4682186630	-41.6806838251
0.2899137803	0.1377301367	0.0000000074	2776.1109755522	-42.8344932057
0.2969848481	0.1377301364	0.0000000032	2769.8609192379	-43.9857044019
0.3040559159	0.1377301363	0.0000000013	2763.7824086739	-45.1343887203
0.3111269837	0.1377301362	0.0000000006	2757.9418148950	-46.2806450562
0.3181980515	0.1377301362	0.0000000002	2752.4055153335	-47.4245998982
0.3252691193	0.1377301362	0.0000000001	2747.2382174765	-48.5664066352
0.3323401872	0.1377301362	0.0000000000	2742.5010370169	-49.7062440639
0.3394112550	0.1377301362	0.0000000000	2738.2489935562	-50.8443138551
0.3464823228	0.1377301362	0.0000000000	2734.5278316116	-51.9808366983
0.3535533906	0.1377301362	0.0000000000	2731.3704039300	-53.1160469425
0.3606244584	0.1377301362	0.0000000000	2728.7928046154	-54.2501856293
0.3676955262	0.1377301362	0.0000000000	2726.7908753132	-55.3834920732
0.3747665940	0.1377301362	0.0000000000	2725.3378504620	-56.5161944639
0.3818376618	0.1377301362	0.0000000000	2724.3740578787	-57.6484962144
0.3889087297	0.1377301362	0.0000000000	2723.7971186135	-58.7805581818
0.3959797975	0.1377301362	0.0000000000	2939.4425018937	-60.0022686889
0.4030508653	0.1377301362	0.0000000000	2942.2167692129	-61.2251326131
0.4101219331	0.1377301362	0.0000000000	2945.1401704479	-62.4492119222
0.4171930009	0.1377301362	0.0000000000	2948.1123780565	-63.6745268850
0.4242640687	0.1377301362	0.0000000000	2951.0398257916	-64.9010588795
0.4313351365	0.1377301362	0.0000000000	2953.8398945787	-66.1287549408
0.4384062043	0.1377301362	0.0000000000	2956.4434977285	-67.3575333854
0.4454772721	0.1377301362	0.0000000000	2958.7961146537	-68.5872898659
0.4525483400	0.1377301362	0.0000000000	2960.8575328734	-69.8179033185
