time,x_num,v_num,x_ana,v_ana
0.7600000000,0.5003071539,-0.0005018472,0.4921206991,0.0062790520
0.7700000000,0.5003022160,-0.0004937854,0.4921670063,0.0125333234
0.7800000000,0.5002973575,-0.0004858533,0.4922439915,0.0187381315
0.7900000000,0.5002925770,-0.0004780486,0.4923513653,0.0248689887
0.8000000000,0.5002878733,-0.0004703694,0.4924887235,0.0309016994
0.8100000000,0.5002832452,-0.0004628136,0.4926555489,0.0368124553
0.8200000000,0.5002786914,-0.0004553792,0.4928512127,0.0425779292
0.8300000000,0.5002742107,-0.0004480644,0.4930749764,0.0481753674
0.8400000000,0.5002698021,-0.0004408671,0.4933259946,0.0535826795
0.8500000000,0.5002654642,-0.0004337855,0.4936033172,0.0587785252
0.8600000000,0.5002611960,-0.0004268178,0.4939058931,0.0637423990
0.8700000000,0.5002569964,-0.0004199620,0.4942325732,0.0684547106
0.8800000000,0.5002528642,-0.0004132164,0.4945821145,0.0728968627
0.8900000000,0.5002487984,-0.0004065792,0.4949531841,0.0770513243
0.9000000000,0.5002447980,-0.0004000487,0.4953443640,0.0809016994
0.9100000000,0.5002408617,-0.0003936231,0.4957541557,0.0844327926
0.9200000000,0.5002369887,-0.0003873008,0.4961809856,0.0876306680
0.9300000000,0.5002331779,-0.0003810801,0.4966232104,0.0904827052
0.9400000000,0.5002294283,-0.0003749593,0.4970791228,0.0929776486
0.9500000000,0.5002257390,-0.0003689369,0.4975469581,0.0951056516
0.9600000000,0.5002221088,-0.0003630113,0.4980249001,0.0968583161
0.9700000000,0.5002185370,-0.0003571809,0.4985110881,0.0982287251
0.9800000000,0.5002150226,-0.0003514442,0.4990036239,0.0992114701
0.9900000000,0.5002115646,-0.0003457997,0.4995005785,0.0998026728
1.0000000000,0.5002081621,-0.0003402459,0.5000000000,0.1000000000
1.0100000000,0.5002048143,-0.0003347813,0.5004999208,0.0998026728
1.0200000000,0.5002015203,-0.0003294045,0.5009983656,0.0992114701
1.0300000000,0.5001982791,-0.0003241142,0.5014933588,0.0982287251
1.0400000000,0.5001950900,-0.0003189088,0.5019829329,0.0968583161
1.0500000000,0.5001919522,-0.0003137870,0.5024651361,0.0951056516
1.0600000000,0.5001888647,-0.0003087476,0.5029380405,0.0929776486
1.0700000000,0.5001858268,-0.0003037891,0.5033997501,0.0904827052
1.0800000000,0.5001828377,-0.0002989103,0.5038484086,0.0876306680
1.0900000000,0.5001798966,-0.0002941098,0.5042822074,0.0844327926
1.1000000000,0.5001770027,-0.0002893865,0.5046993933,0.0809016994
1.1100000000,0.5001741554,-0.0002847391,0.5050982760,0.0770513243
1.1200000000,0.5001713537,-0.0002801663,0.5054772356,0.0728968627
1.1300000000,0.5001685970,-0.0002756671,0.5058347295,0.0684547106
1.1400000000,0.5001658846,-0.0002712400,0.5061692996,0.0637423990
1.1500000000,0.5001632158,-0.0002668841,0.5064795784,0.0587785252
1.1600000000,0.5001605898,-0.0002625982,0.5067642953,0.0535826795
1.1700000000,0.5001580060,-0.0002583812,0.5070222825,0.0481753674
1.1800000000,0.5001554637,-0.0002542319,0.5072524802,0.0425779292
1.1900000000,0.5001529622,-0.0002501492,0.5074539413,0.0368124553
1.2000000000,0.5001505009,-0.0002461321,0.5076258361,0.0309016994
1.2100000000,0.5001480791,-0.0002421796,0.5077674556,0.0248689887
1.2200000000,0.5001456962,-0.0002382905,0.5078782155,0.0187381315
1.2300000000,0.5001433515,-0.0002344639,0.5079576583,0.0125333234
1.2400000000,0.5001410445,-0.0002306988,0.5080054557,0.0062790520
1.2500000000,0.5001387746,-0.0002269942,0.5080214102,-0.0000000000
1.2600000000,0.5001365411,-0.0002233491,0.5080054557,-0.0062790520
1.2700000000,0.5001343435,-0.0002197625,0.5079576583,-0.0125333234
1.2800000000,0.5001321811,-0.0002162335,0.5078782155,-0.0187381315
1.2900000000,0.5001300535,-0.0002127613,0.5077674556,-0.0248689887
1.3000000000,0.5001279601,-0.0002093448,0.5076258361,-0.0309016994
1.3100000000,0.5001259002,-0.0002059832,0.5074539413,-0.0368124553
1.3200000000,0.5001238735,-0.0002026755,0.5072524802,-0.0425779292
1.3300000000,0.5001218793,-0.0001994210,0.5070222825,-0.0481753674
1.3400000000,0.5001199171,-0.0001962188,0.5067642953,-0.0535826795
1.3500000000,0.5001179864,-0.0001930680,0.5064795784,-0.0587785252
1.3600000000,0.5001160867,-0.0001899678,0.5061692996,-0.0637423990
1.3700000000,0.5001142176,-0.0001869174,0.5058347295,-0.0684547106
1.3800000000,0.5001123784,-0.0001839160,0.5054772356,-0.0728968627
1.3900000000,0.5001105688,-0.0001809628,0.5050982760,-0.0770513243
1.4000000000,0.5001087882,-0.0001780571,0.5046993933,-0.0809016994
1.4100000000,0.5001070362,-0.0001751980,0.5042822074,-0.0844327926
1.4200000000,0.5001053124,-0.0001723848,0.5038484086,-0.0876306680
1.4300000000,0.5001036162,-0.0001696168,0.5033997501,-0.0904827052
1.4400000000,0.5001019473,-0.0001668933,0.5029380405,-0.0929776486
1.4500000000,0.5001003051,-0.0001642135,0.5024651361,-0.0951056516
1.4600000000,0.5000986894,-0.0001615768,0.5019829329,-0.0968583161
1.4700000000,0.5000970995,-0.0001589824,0.5014933588,-0.0982287251
1.4800000000,0.5000955352,-0.0001564296,0.5009983656,-0.0992114701
1.4900000000,0.5000939961,-0.0001539179,0.5004999208,-0.0998026728
1.5000000000,0.5000924816,-0.0001514465,0.5000000000,-0.1000000000
1.5100000000,0.5000909915,-0.0001490148,0.4995005785,-0.0998026728
1.5200000000,0.5000895252,-0.0001466221,0.4990036239,-0.0992114701
1.5300000000,0.5000880826,-0.0001442679,0.4985110881,-0.0982287251
1.5400000000,0.5000866630,-0.0001419514,0.4980249001,-0.0968583161
1.5500000000,0.5000852663,-0.0001396722,0.4975469581,-0.0951056516
1.5600000000,0.5000838920,-0.0001374296,0.4970791228,-0.0929776486
1.5700000000,0.5000825398,-0.0001352230,0.4966232104,-0.0904827052
1.5800000000,0.5000812093,-0.0001330518,0.4961809856,-0.0876306680
1.5900000000,0.5000799001,-0.0001309155,0.4957541557,-0.0844327926
1.6000000000,0.5000786120,-0.0001288135,0.4953443640,-0.0809016994
1.6100000000,0.5000773445,-0.0001267453,0.4949531841,-0.0770513243
1.6200000000,0.5000760974,-0.0001247103,0.4945821145,-0.0728968627
1.6300000000,0.5000748703,-0.0001227079,0.4942325732,-0.0684547106
1.6400000000,0.5000736630,-0.0001207377,0.4939058931,-0.0637423990
1.6500000000,0.5000724750,-0.0001187992,0.4936033172,-0.0587785252
1.6600000000,0.5000713061,-0.0001168917,0.4933259946,-0.0535826795
1.6700000000,0.5000701559,-0.0001150150,0.4930749764,-0.0481753674
1.6800000000,0.5000690242,-0.0001131683,0.4928512127,-0.0425779292
1.6900000000,0.5000679107,-0.0001113513,0.4926555489,-0.0368124553
1.7000000000,0.5000668151,-0.0001095635,0.4924887235,-0.0309016994
1.7100000000,0.5000657370,-0.0001078044,0.4923513653,-0.0248689887
1.7200000000,0.5000646763,-0.0001060735,0.4922439915,-0.0187381315
1.7300000000,0.5000636326,-0.0001043704,0.4921670063,-0.0125333234
1.7400000000,0.5000626056,-0.0001026947,0.4921206991,-0.0062790520
1.7500000000,0.5000615952,-0.0001010459,0.4921052440,0.0000000000
1.7600000000,0.5000606010,-0.0000994235,0.4921206991,0.0062790520
1.7700000000,0.5000596227,-0.0000978273,0.4921670063,0.0125333234
1.7800000000,0.5000586601,-0.0000962566,0.4922439915,0.0187381315
1.7900000000,0.5000577130,-0.0000947112,0.4923513653,0.0248689887
1.8000000000,0.5000567811,-0.0000931905,0.4924887235,0.0309016994
1.8100000000,0.5000558642,-0.0000916943,0.4926555489,0.0368124553
1.8200000000,0.5000549619,-0.0000902222,0.4928512127,0.0425779292
1.8300000000,0.5000540742,-0.0000887736,0.4930749764,0.0481753674
1.8400000000,0.5000532007,-0.0000873483,0.4933259946,0.0535826795
1.8500000000,0.5000523413,-0.0000859460,0.4936033172,0.0587785252
1.8600000000,0.5000514956,-0.0000845661,0.4939058931,0.0637423990
1.8700000000,0.5000506635,-0.0000832084,0.4942325732,0.0684547106
1.8800000000,0.5000498448,-0.0000818724,0.4945821145,0.0728968627
1.8900000000,0.5000490392,-0.0000805580,0.4949531841,0.0770513243
1.9000000000,0.5000482466,-0.0000792646,0.4953443640,0.0809016994
1.9100000000,0.5000474666,-0.0000779920,0.4957541557,0.0844327926
1.9200000000,0.5000466992,-0.0000767399,0.4961809856,0.0876306680
1.9300000000,0.5000459442,-0.0000755078,0.4966232104,0.0904827052
1.9400000000,0.5000452012,-0.0000742955,0.4970791228,0.0929776486
1.9500000000,0.5000444702,-0.0000731027,0.4975469581,0.0951056516
1.9600000000,0.5000437509,-0.0000719291,0.4980249001,0.0968583161
1.9700000000,0.5000430431,-0.0000707743,0.4985110881,0.0982287251
1.9800000000,0.5000423468,-0.0000696380,0.4990036239,0.0992114701
1.9900000000,0.5000416616,-0.0000685200,0.4995005785,0.0998026728
2.0000000000,0.5000409874,-0.0000674199,0.5000000000,0.1000000000
2.0100000000,0.5000403240,-0.0000663375,0.5004999208,0.0998026728
2.0200000000,0.5000396713,-0.0000652725,0.5009983656,0.0992114701
2.0300000000,0.5000390290,-0.0000642245,0.5014933588,0.0982287251
2.0400000000,0.5000383971,-0.0000631934,0.5019829329,0.0968583161
2.0500000000,0.5000377753,-0.0000621789,0.5024651361,0.0951056516
2.0600000000,0.5000371635,-0.0000611806,0.5029380405,0.0929776486
2.0700000000,0.5000365615,-0.0000601984,0.5033997501,0.0904827052
2.0800000000,0.5000359692,-0.0000592319,0.5038484086,0.0876306680
2.0900000000,0.5000353864,-0.0000582810,0.5042822074,0.0844327926
2.1000000000,0.5000348129,-0.0000573453,0.5046993933,0.0809016994
2.1100000000,0.5000342487,-0.0000564247,0.5050982760,0.0770513243
2.1200000000,0.5000336935,-0.0000555188,0.5054772356,0.0728968627
2.1300000000,0.5000331472,-0.0000546275,0.5058347295,0.0684547106
2.1400000000,0.5000326097,-0.0000537504,0.5061692996,0.0637423990
2.1500000000,0.5000320808,-0.0000528875,0.5064795784,0.0587785252
2.1600000000,0.5000315605,-0.0000520384,0.5067642953,0.0535826795
2.1700000000,0.5000310484,-0.0000512030,0.5070222825,0.0481753674
2.1800000000,0.5000305446,-0.0000503810,0.5072524802,0.0425779292
2.1900000000,0.5000300489,-0.0000495721,0.5074539413,0.0368124553
2.2000000000,0.5000295611,-0.0000487763,0.5076258361,0.0309016994
2.2100000000,0.5000290812,-0.0000479932,0.5077674556,0.0248689887
2.2200000000,0.5000286090,-0.0000472227,0.5078782155,0.0187381315
2.2300000000,0.5000281443,-0.0000464646,0.5079576583,0.0125333234
2.2400000000,0.5000276871,-0.0000457186,0.5080054557,0.0062790520
2.2500000000,0.5000272373,-0.0000449846,0.5080214102,0.0000000000
2.2600000000,0.5000267947,-0.0000442624,0.5080054557,-0.0062790520
2.2700000000,0.5000263592,-0.0000435518,0.5079576583,-0.0125333234
2.2800000000,0.5000259306,-0.0000428527,0.5078782155,-0.0187381315
2.2900000000,0.5000255090,-0.0000421647,0.5077674556,-0.0248689887
2.3000000000,0.5000250941,-0.0000414878,0.5076258361,-0.0309016994
2.3100000000,0.5000246859,-0.0000408217,0.5074539413,-0.0368124553
2.3200000000,0.5000242842,-0.0000401664,0.5072524802,-0.0425779292
2.3300000000,0.5000238890,-0.0000395215,0.5070222825,-0.0481753674
2.3400000000,0.5000235001,-0.0000388870,0.5067642953,-0.0535826795
2.3500000000,0.5000231175,-0.0000382627,0.5064795784,-0.0587785252
2.3600000000,0.5000227410,-0.0000376485,0.5061692996,-0.0637423990
2.3700000000,0.5000223706,-0.0000370441,0.5058347295,-0.0684547106
2.3800000000,0.5000220061,-0.0000364493,0.5054772356,-0.0728968627
2.3900000000,0.5000216474,-0.0000358642,0.5050982760,-0.0770513243
2.4000000000,0.5000212946,-0.0000352884,0.5046993933,-0.0809016994
2.4100000000,0.5000209473,-0.0000347219,0.5042822074,-0.0844327926
2.4200000000,0.5000206057,-0.0000341645,0.5038484086,-0.0876306680
2.4300000000,0.5000202695,-0.0000336160,0.5033997501,-0.0904827052
2.4400000000,0.5000199388,-0.0000330763,0.5029380405,-0.0929776486
2.4500000000,0.5000196133,-0.0000325453,0.5024651361,-0.0951056516
2.4600000000,0.5000192931,-0.0000320228,0.5019829329,-0.0968583161
2.4700000000,0.5000189780,-0.0000315087,0.5014933588,-0.0982287251
2.4800000000,0.5000186680,-0.0000310029,0.5009983656,-0.0992114701
2.4900000000,0.5000183629,-0.0000305052,0.5004999208,-0.0998026728
2.5000000000,0.5000180628,-0.0000300155,0.5000000000,-0.1000000000
2.5100000000,0.5000177674,-0.0000295336,0.4995005785,-0.0998026728
2.5200000000,0.5000174768,-0.0000290595,0.4990036239,-0.0992114701
2.5300000000,0.5000171909,-0.0000285929,0.4985110881,-0.0982287251
2.5400000000,0.5000169096,-0.0000281339,0.4980249001,-0.0968583161
2.5500000000,0.5000166327,-0.0000276823,0.4975469581,-0.0951056516
2.5600000000,0.5000163604,-0.0000272378,0.4970791228,-0.0929776486
2.5700000000,0.5000160924,-0.0000268006,0.4966232104,-0.0904827052
2.5800000000,0.5000158287,-0.0000263703,0.4961809856,-0.0876306680
2.5900000000,0.5000155692,-0.0000259470,0.4957541557,-0.0844327926
2.6000000000,0.5000153139,-0.0000255304,0.4953443640,-0.0809016994
2.6100000000,0.5000150627,-0.0000251206,0.4949531841,-0.0770513243
2.6200000000,0.5000148155,-0.0000247173,0.4945821145,-0.0728968627
2.6300000000,0.5000145723,-0.0000243205,0.4942325732,-0.0684547106
2.6400000000,0.5000143330,-0.0000239300,0.4939058931,-0.0637423990
2.6500000000,0.5000140975,-0.0000235459,0.4936033172,-0.0587785252
2.6600000000,0.5000138659,-0.0000231679,0.4933259946,-0.0535826795
2.6700000000,0.5000136379,-0.0000227959,0.4930749764,-0.0481753674
2.6800000000,0.5000134136,-0.0000224300,0.4928512127,-0.0425779292
2.6900000000,0.5000131929,-0.0000220699,0.4926555489,-0.0368124553
2.7000000000,0.5000129758,-0.0000217156,0.4924887235,-0.0309016994
2.7100000000,0.5000127621,-0.0000213670,0.4923513653,-0.0248689887
2.7200000000,0.5000125518,-0.0000210240,0.4922439915,-0.0187381315
2.7300000000,0.5000123450,-0.0000206864,0.4921670063,-0.0125333234
2.7400000000,0.5000121414,-0.0000203543,0.4921206991,-0.0062790520
2.7500000000,0.5000119412,-0.0000200276,0.4921052440,-0.0000000000
2.7600000000,0.5000117441,-0.0000197061,0.4921206991,0.0062790520
2.7700000000,0.5000115502,-0.0000193897,0.4921670063,0.0125333234
2.7800000000,0.5000113594,-0.0000190784,0.4922439915,0.0187381315
2.7900000000,0.5000111717,-0.0000187722,0.4923513653,0.0248689887
2.8000000000,0.5000109870,-0.0000184708,0.4924887235,0.0309016994
2.8100000000,0.5000108052,-0.0000181743,0.4926555489,0.0368124553
2.8200000000,0.5000106264,-0.0000178825,0.4928512127,0.0425779292
2.8300000000,0.5000104505,-0.0000175954,0.4930749764,0.0481753674
2.8400000000,0.5000102773,-0.0000173130,0.4933259946,0.0535826795
2.8500000000,0.5000101070,-0.0000170350,0.4936033172,0.0587785252
2.8600000000,0.5000099394,-0.0000167615,0.4939058931,0.0637423990
2.8700000000,0.5000097744,-0.0000164925,0.4942325732,0.0684547106
2.8800000000,0.5000096122,-0.0000162277,0.4945821145,0.0728968627
2.8900000000,0.5000094525,-0.0000159672,0.4949531841,0.0770513243
2.9000000000,0.5000092954,-0.0000157108,0.4953443640,0.0809016994
2.9100000000,0.5000091408,-0.0000154586,0.4957541557,0.0844327926
2.9200000000,0.5000089887,-0.0000152105,0.4961809856,0.0876306680
2.9300000000,0.5000088390,-0.0000149663,0.4966232104,0.0904827052
2.9400000000,0.5000086918,-0.0000147260,0.4970791228,0.0929776486
2.9500000000,0.5000085469,-0.0000144896,0.4975469581,0.0951056516
2.9600000000,0.5000084043,-0.0000142570,0.4980249001,0.0968583161
2.9700000000,0.5000082640,-0.0000140281,0.4985110881,0.0982287251
2.9800000000,0.5000081260,-0.0000138029,0.4990036239,0.0992114701
2.9900000000,0.5000079902,-0.0000135813,0.4995005785,0.0998026728
3.0000000000,0.5000078566,-0.0000133633,0.5000000000,0.1000000000
3.0100000000,0.5000077251,-0.0000131488,0.5004999208,0.0998026728
3.0200000000,0.5000075957,-0.0000129377,0.5009983656,0.0992114701
3.0300000000,0.5000074684,-0.0000127300,0.5014933588,0.0982287251
3.0400000000,0.5000073431,-0.0000125256,0.5019829329,0.0968583161
3.0500000000,0.5000072199,-0.0000123246,0.5024651361,0.0951056516
3.0600000000,0.5000070986,-0.0000121267,0.5029380405,0.0929776486
3.0700000000,0.5000069793,-0.0000119320,0.5033997501,0.0904827052
3.0800000000,0.5000068619,-0.0000117405,0.5038484086,0.0876306680
3.0900000000,0.5000067464,-0.0000115520,0.5042822074,0.0844327926
3.1000000000,0.5000066327,-0.0000113666,0.5046993933,0.0809016994
3.1100000000,0.5000065209,-0.0000111841,0.5050982760,0.0770513243
3.1200000000,0.5000064108,-0.0000110045,0.5054772356,0.0728968627
3.1300000000,0.5000063025,-0.0000108279,0.5058347295,0.0684547106
3.1400000000,0.5000061960,-0.0000106540,0.5061692996,0.0637423990
3.1500000000,0.5000060912,-0.0000104830,0.5064795784,0.0587785252
3.1600000000,0.5000059880,-0.0000103147,0.5067642953,0.0535826795
3.1700000000,0.5000058865,-0.0000101491,0.5070222825,0.0481753674
3.1800000000,0.5000057867,-0.0000099862,0.5072524802,0.0425779292
3.1900000000,0.5000056884,-0.0000098259,0.5074539413,0.0368124553
3.2000000000,0.5000055917,-0.0000096682,0.5076258361,0.0309016994
3.2100000000,0.5000054966,-0.0000095129,0.5077674556,0.0248689887
3.2200000000,0.5000054030,-0.0000093602,0.5078782155,0.0187381315
3.2300000000,0.5000053109,-0.0000092100,0.5079576583,0.0125333234
3.2400000000,0.5000052203,-0.0000090621,0.5080054557,0.0062790520
3.2500000000,0.5000051311,-0.0000089166,0.5080214102,0.0000000000
3.2600000000,0.5000050434,-0.0000087735,0.5080054557,-0.0062790520
3.2700000000,0.5000049571,-0.0000086326,0.5079576583,-0.0125333234
3.2800000000,0.5000048721,-0.0000084941,0.5078782155,-0.0187381315
3.2900000000,0.5000047885,-0.0000083577,0.5077674556,-0.0248689887
3.3000000000,0.5000047063,-0.0000082235,0.5076258361,-0.0309016994
3.3100000000,0.5000046254,-0.0000080915,0.5074539413,-0.0368124553
3.3200000000,0.5000045458,-0.0000079616,0.5072524802,-0.0425779292
3.3300000000,0.5000044674,-0.0000078338,0.5070222825,-0.0481753674
3.3400000000,0.5000043903,-0.0000077080,0.5067642953,-0.0535826795
3.3500000000,0.5000043145,-0.0000075843,0.5064795784,-0.0587785252
3.3600000000,0.5000042399,-0.0000074626,0.5061692996,-0.0637423990
3.3700000000,0.5000041665,-0.0000073428,0.5058347295,-0.0684547106
3.3800000000,0.5000040942,-0.0000072249,0.5054772356,-0.0728968627
3.3900000000,0.5000040231,-0.0000071089,0.5050982760,-0.0770513243
3.4000000000,0.5000039532,-0.0000069948,0.5046993933,-0.0809016994
3.4100000000,0.5000038843,-0.0000068825,0.5042822074,-0.0844327926
3.4200000000,0.5000038166,-0.0000067720,0.5038484086,-0.0876306680
3.4300000000,0.5000037500,-0.0000066633,0.5033997501,-0.0904827052
3.4400000000,0.5000036844,-0.0000065563,0.5029380405,-0.0929776486
3.4500000000,0.5000036199,-0.0000064511,0.5024651361,-0.0951056516
3.4600000000,0.5000035564,-0.0000063475,0.5019829329,-0.0968583161
3.4700000000,0.5000034940,-0.0000062456,0.5014933588,-0.0982287251
3.4800000000,0.5000034325,-0.0000061453,0.5009983656,-0.0992114701
3.4900000000,0.5000033721,-0.0000060467,0.5004999208,-0.0998026728
3.5000000000,0.5000033126,-0.0000059496,0.5000000000,-0.1000000000
3.5100000000,0.5000032540,-0.0000058541,0.4995005785,-0.0998026728
3.5200000000,0.5000031964,-0.0000057601,0.4990036239,-0.0992114701
3.5300000000,0.5000031397,-0.0000056677,0.4985110881,-0.0982287251
3.5400000000,0.5000030840,-0.0000055767,0.4980249001,-0.0968583161
3.5500000000,0.5000030291,-0.0000054871,0.4975469581,-0.0951056516
3.5600000000,0.5000029751,-0.0000053991,0.4970791228,-0.0929776486
3.5700000000,0.5000029220,-0.0000053124,0.4966232104,-0.0904827052
3.5800000000,0.5000028697,-0.0000052271,0.4961809856,-0.0876306680
3.5900000000,0.5000028183,-0.0000051432,0.4957541557,-0.0844327926
3.6000000000,0.5000027677,-0.0000050606,0.4953443640,-0.0809016994
3.6100000000,0.5000027179,-0.0000049794,0.4949531841,-0.0770513243
3.6200000000,0.5000026689,-0.0000048994,0.4945821145,-0.0728968627
3.6300000000,0.5000026207,-0.0000048208,0.4942325732,-0.0684547106
3.6400000000,0.5000025733,-0.0000047434,0.4939058931,-0.0637423990
3.6500000000,0.5000025266,-0.0000046673,0.4936033172,-0.0587785252
3.6600000000,0.5000024807,-0.0000045923,0.4933259946,-0.0535826795
3.6700000000,0.5000024355,-0.0000045186,0.4930749764,-0.0481753674
3.6800000000,0.5000023910,-0.0000044461,0.4928512127,-0.0425779292
3.6900000000,0.5000023473,-0.0000043747,0.4926555489,-0.0368124553
3.7000000000,0.5000023042,-0.0000043045,0.4924887235,-0.0309016994
3.7100000000,0.5000022619,-0.0000042354,0.4923513653,-0.0248689887
3.7200000000,0.5000022202,-0.0000041674,0.4922439915,-0.0187381315
3.7300000000,0.5000021792,-0.0000041005,0.4921670063,-0.0125333234
3.7400000000,0.5000021388,-0.0000040346,0.4921206991,-0.0062790520
3.7500000000,0.5000020991,-0.0000039699,0.4921052440,-0.0000000000
3.7600000000,0.5000020601,-0.0000039061,0.4921206991,0.0062790520
3.7700000000,0.5000020216,-0.0000038434,0.4921670063,0.0125333234
3.7800000000,0.5000019838,-0.0000037817,0.4922439915,0.0187381315
3.7900000000,0.5000019466,-0.0000037210,0.4923513653,0.0248689887
3.8000000000,0.5000019100,-0.0000036613,0.4924887235,0.0309016994
3.8100000000,0.5000018740,-0.0000036025,0.4926555489,0.0368124553
