# time	stress	strain
1.2800000000	0.6127857782	0.0155220451
1.2900000000	0.6036109028	0.0152896428
1.3000000000	0.5920178375	0.0149959870
1.3100000000	0.5780540033	0.0146422790
1.3200000000	0.5617764037	0.0142299625
1.3300000000	0.5432513690	0.0137607179
1.3400000000	0.5225542613	0.0132364541
1.3500000000	0.4997691409	0.0126593002
1.3600000000	0.4749883963	0.0120315966
1.3700000000	0.4483123406	0.0113558842
1.3800000000	0.4198487757	0.0106348937
1.3900000000	0.3897125264	0.0098715336
1.4000000000	0.3580249482	0.0090688779
1.4100000000	0.3249134100	0.0082301528
1.4200000000	0.2905107554	0.0073587234
1.4300000000	0.2549547444	0.0064580791
1.4400000000	0.2183874790	0.0055318195
1.4500000000	0.1809548148	0.0045836390
1.4600000000	0.1428057618	0.0036173122
1.4700000000	0.1040918772	0.0026366781
1.4800000000	0.0649666521	0.0016456245
1.4900000000	0.0255848958	0.0006480730
1.5000000000	-0.0138978804	-0.0003520374
1.5100000000	-0.0533260777	-0.0013507653
1.5200000000	-0.0925446188	-0.0023441826
1.5300000000	-0.1313995512	-0.0033283895
1.5400000000	-0.1697386405	-0.0042995300
1.5500000000	-0.2074119532	-0.0052538061
1.5600000000	-0.2442724257	-0.0061874928
1.5700000000	-0.2801764190	-0.0070969516
1.5800000000	-0.3149842560	-0.0079786444
1.5900000000	-0.3485607408	-0.0088291467
1.6000000000	-0.3807756575	-0.0096451601
1.6100000000	-0.4115042481	-0.0104235244
1.6200000000	-0.4406276673	-0.0111612292
1.6300000000	-0.4680334135	-0.0118554249
1.6400000000	-0.4936157348	-0.0125034326
1.6500000000	-0.5172760084	-0.0131027544
1.6600000000	-0.5389230941	-0.0136510814
1.6700000000	-0.5584736584	-0.0141463030
1.6800000000	-0.5758524713	-0.0145865135
1.6900000000	-0.5909926734	-0.0149700193
1.7000000000	-0.6038360123	-0.0152953449
1.7100000000	-0.6143330501	-0.0155612379
1.7200000000	-0.6224433387	-0.0157666740
1.7300000000	-0.6281355643	-0.0159108597
1.7400000000	-0.6313876604	-0.0159932363
1.7500000000	-0.6321868885	-0.0160134810
1.7600000000	-0.6305298867	-0.0159715086
1.7700000000	-0.6264226864	-0.0158674720
1.7800000000	-0.6198806962	-0.0157017615
1.7900000000	-0.6109286531	-0.0154750036
1.8000000000	-0.5996005419	-0.0151880592
1.8100000000	-0.5859394814	-0.0148420204
1.8200000000	-0.5699975792	-0.0144382073
1.8300000000	-0.5518357536	-0.0139781629
1.8400000000	-0.5315235243	-0.0134636482
1.8500000000	-0.5091387714	-0.0128966357
1.8600000000	-0.4847674640	-0.0122793033
1.8700000000	-0.4585033571	-0.0116140257
1.8800000000	-0.4304476605	-0.0109033666
1.8900000000	-0.4007086769	-0.0101500694
1.9000000000	-0.3694014130	-0.0093570471
1.9100000000	-0.3366471627	-0.0085273722
1.9200000000	-0.3025730641	-0.0076642652
1.9300000000	-0.2673116318	-0.0067710827
1.9400000000	-0.2310002654	-0.0058513051
1.9500000000	-0.1937807353	-0.0049085234
1.9600000000	-0.1557986480	-0.0039464259
1.9700000000	-0.1172028931	-0.0029687840
1.9800000000	-0.0781450717	-0.0019794378
1.9900000000	-0.0387789108	-0.0009822813
2.0000000000	0.0007403358	0.0000187529
2.0100000000	0.0402564978	0.0010197090
