# step	 time	 x_p_n	 v_p_n	 N0	 N1	 mass_n0	 mass_n1	 mv_n0	 mv_n1	 f_total0	 f_total1	 mv_n0_after	 mv_n1_after	 a_grid	 v_pic	 x_p_np1	 v_p_np1
22	0.2200000000	0.5075611830	0.0237411342	0.4924388170	0.5075611830	0.4924388170	0.5075611830	0.0000000000	0.0120500782	0.5927692616	-0.5927692616	0.0000000000	0.0061223856	0.0000000000	0.0061223856	0.5076224069	0.0178134416
23	0.2300000000	0.5076224069	0.0178134416	0.4923775931	0.5076224069	0.4923775931	0.5076224069	0.0000000000	0.0090425021	0.5975312903	-0.5975312903	0.0000000000	0.0030671892	0.0000000000	0.0030671892	0.5076530787	0.0118381287
24	0.2400000000	0.5076530787	0.0118381287	0.4923469213	0.5076530787	0.4923469213	0.5076530787	0.0000000000	0.0060096625	0.5999166810	-0.5999166810	0.0000000000	0.0000104957	0.0000000000	0.0000104957	0.5076531837	0.0058389619
25	0.2500000000	0.5076531837	0.0058389619	0.4923468163	0.5076531837	0.4923468163	0.5076531837	0.0000000000	0.0029641676	0.5999248431	-0.5999248431	0.0000000000	-0.0030350808	0.0000000000	-0.0030350808	0.5076228329	-0.0001602865
26	0.2600000000	0.5076228329	-0.0001602865	0.4923771671	0.5076228329	0.4923771671	0.5076228329	0.0000000000	-0.0000813651	0.5975645666	-0.5975645666	0.0000000000	-0.0060570108	0.0000000000	-0.0060570108	0.5075622628	-0.0061359322
27	0.2700000000	0.5075622628	-0.0061359322	0.4924377372	0.5075622628	0.4924377372	0.5075622628	0.0000000000	-0.0031143676	0.5928539589	-0.5928539589	0.0000000000	-0.0090429072	0.0000000000	-0.0090429072	0.5074718337	-0.0120644718
28	0.2800000000	0.5074718337	-0.0120644718	0.4925281663	0.5074718337	0.4925281663	0.5074718337	0.0000000000	-0.0061223796	0.5858203456	-0.5858203456	0.0000000000	-0.0119805831	0.0000000000	-0.0119805831	0.5073520279	-0.0179226752
29	0.2900000000	0.5073520279	-0.0179226752	0.4926479721	0.5073520279	0.4926479721	0.5073520279	0.0000000000	-0.0090931056	0.5765001345	-0.5765001345	0.0000000000	-0.0148581070	0.0000000000	-0.0148581070	0.5072034468	-0.0236876766
30	0.3000000000	0.5072034468	-0.0236876766	0.4927965532	0.5072034468	0.4927965532	0.5072034468	0.0000000000	-0.0120144712	0.5649386443	-0.5649386443	0.0000000000	-0.0176638577	0.0000000000	-0.0176638577	0.5070268082	-0.0293370630
31	0.3100000000	0.5070268082	-0.0293370630	0.4929731918	0.5070268082	0.4929731918	0.5070268082	0.0000000000	-0.0148746774	0.5511898980	-0.5511898980	0.0000000000	-0.0203865764	0.0000000000	-0.0203865764	0.5068229425	-0.0348489620
32	0.3200000000	0.5068229425	-0.0348489620	0.4931770575	0.5068229425	0.4931770575	0.5068229425	0.0000000000	-0.0176622535	0.5353163828	-0.5353163828	0.0000000000	-0.0230154173	0.0000000000	-0.0230154173	0.5065927883	-0.0402021258
33	0.3300000000	0.5065927883	-0.0402021258	0.4934072117	0.5065927883	0.4934072117	0.5065927883	0.0000000000	-0.0203661070	0.5173887758	-0.5173887758	0.0000000000	-0.0255399948	0.0000000000	-0.0255399948	0.5063373884	-0.0453760136
34	0.3400000000	0.5063373884	-0.0453760136	0.4936626116	0.5063373884	0.4936626116	0.5063373884	0.0000000000	-0.0229755722	0.4974856385	-0.4974856385	0.0000000000	-0.0279504286	0.0000000000	-0.0279504286	0.5060578841	-0.0503508700
35	0.3500000000	0.5060578841	-0.0503508700	0.4939421159	0.5060578841	0.4939421159	0.5060578841	0.0000000000	-0.0254804547	0.4756930805	-0.4756930805	0.0000000000	-0.0302373855	0.0000000000	-0.0302373855	0.5057555102	-0.0551078008
36	0.3600000000	0.5057555102	-0.0551078008	0.4942444898	0.5057555102	0.4942444898	0.5057555102	0.0000000000	-0.0278710739	0.4521043929	-0.4521043929	0.0000000000	-0.0323921178	0.0000000000	-0.0323921178	0.5054315890	-0.0596288447
37	0.3700000000	0.5054315890	-0.0596288447	0.4945684110	0.5054315890	0.4945684110	0.5054315890	0.0000000000	-0.0301383017	0.4268196549	-0.4268196549	0.0000000000	-0.0344064983	0.0000000000	-0.0344064983	0.5050875241	-0.0638970413
38	0.3800000000	0.5050875241	-0.0638970413	0.4949124759	0.5050875241	0.4949124759	0.5050875241	0.0000000000	-0.0322735984	0.3999453135	-0.3999453135	0.0000000000	-0.0362730515	0.0000000000	-0.0362730515	0.5047247935	-0.0678964944
39	0.3900000000	0.5047247935	-0.0678964944	0.4952752065	0.5047247935	0.4952752065	0.5047247935	0.0000000000	-0.0342690441	0.3715937387	-0.3715937387	0.0000000000	-0.0379849815	0.0000000000	-0.0379849815	0.5043449437	-0.0716124318
40	0.4000000000	0.5043449437	-0.0716124318	0.4956550563	0.5043449437	0.4956550563	0.5043449437	0.0000000000	-0.0361173679	0.3418827559	-0.3418827559	0.0000000000	-0.0395361954	0.0000000000	-0.0395361954	0.5039495818	-0.0750312593
41	0.4100000000	0.5039495818	-0.0750312593	0.4960504182	0.5039495818	0.4960504182	0.5039495818	0.0000000000	-0.0378119718	0.3109351584	-0.3109351584	0.0000000000	-0.0409213233	0.0000000000	-0.0409213233	0.5035403685	-0.0781406109
42	0.4200000000	0.5035403685	-0.0781406109	0.4964596315	0.5035403685	0.4964596315	0.5035403685	0.0000000000	-0.0393469520	0.2788781997	-0.2788781997	0.0000000000	-0.0421357340	0.0000000000	-0.0421357340	0.5031190112	-0.0809293929
43	0.4300000000	0.5031190112	-0.0809293929	0.4968809888	0.5031190112	0.4968809888	0.5031190112	0.0000000000	-0.0407171161	0.2458430707	-0.2458430707	0.0000000000	-0.0431755469	0.0000000000	-0.0431755469	0.5026872557	-0.0833878236
44	0.4400000000	0.5026872557	-0.0833878236	0.4973127443	0.5026872557	0.4973127443	0.5026872557	0.0000000000	-0.0419179962	0.2119643615	-0.2119643615	0.0000000000	-0.0440376398	0.0000000000	-0.0440376398	0.5022468793	-0.0855074672
45	0.4500000000	0.5022468793	-0.0855074672	0.4977531207	0.5022468793	0.4977531207	0.5022468793	0.0000000000	-0.0429458586	0.1773795114	-0.1773795114	0.0000000000	-0.0447196537	0.0000000000	-0.0447196537	0.5017996828	-0.0872812624
46	0.4600000000	0.5017996828	-0.0872812624	0.4982003172	0.5017996828	0.4982003172	0.5017996828	0.0000000000	-0.0437977098	0.1422282494	-0.1422282494	0.0000000000	-0.0452199923	0.0000000000	-0.0452199923	0.5013474829	-0.0887035449
47	0.4700000000	0.5013474829	-0.0887035449	0.4986525171	0.5013474829	0.4986525171	0.5013474829	0.0000000000	-0.0444712989	0.1066520265	-0.1066520265	0.0000000000	-0.0455378192	0.0000000000	-0.0455378192	0.5008921047	-0.0897700651
48	0.4800000000	0.5008921047	-0.0897700651	0.4991078953	0.5008921047	0.4991078953	0.5008921047	0.0000000000	-0.0449651169	0.0707934433	-0.0707934433	0.0000000000	-0.0456730513	0.0000000000	-0.0456730513	0.5004353742	-0.0904779996
49	0.4900000000	0.5004353742	-0.0904779996	0.4995646258	0.5004353742	0.4995646258	0.5004353742	0.0000000000	-0.0452783916	0.0347956750	-0.0347956750	0.0000000000	-0.0456263483	0.0000000000	-0.0456263483	0.4999791107	-0.0908259563
50	0.5000000000	0.4999791107	-0.0908259563	0.5000208893	0.4999791107	0.5000208893	0.4999791107	0.0000000000	-0.0454110809	-0.0011981041	0.0011981041	0.0000000000	-0.0453990998	0.0000000000	-0.0453990998	0.4995251197	-0.0908139753
51	0.5100000000	0.4995251197	-0.0908139753	0.5004748803	0.4995251197	0.5004748803	0.4995251197	0.0000000000	-0.0453638619	-0.0370452942	0.0370452942	0.0000000000	-0.0449934089	0.0000000000	-0.0449934089	0.4990751856	-0.0904435223
52	0.5200000000	0.4990751856	-0.0904435223	0.5009248144	0.4990751856	0.5009248144	0.4990751856	0.0000000000	-0.0451381177	-0.0726044386	0.0726044386	0.0000000000	-0.0444120733	0.0000000000	-0.0444120733	0.4986310649	-0.0897174779
53	0.5300000000	0.4986310649	-0.0897174779	0.5013689351	0.4986310649	0.5013689351	0.4986310649	0.0000000000	-0.0447359216	-0.1077357861	0.1077357861	0.0000000000	-0.0436585637	0.0000000000	-0.0436585637	0.4981944792	-0.0886401201
54	0.5400000000	0.4981944792	-0.0886401201	0.5018055208	0.4981944792	0.5018055208	0.4981944792	0.0000000000	-0.0441600185	-0.1423018437	0.1423018437	0.0000000000	-0.0427370000	0.0000000000	-0.0427370000	0.4977671092	-0.0872171016
55	0.5500000000	0.4977671092	-0.0872171016	0.5022328908	0.4977671092	0.5022328908	0.4977671092	0.0000000000	-0.0434138046	-0.1761679182	0.1761679182	0.0000000000	-0.0416521254	0.0000000000	-0.0416521254	0.4973505880	-0.0854554225
56	0.5600000000	0.4973505880	-0.0854554225	0.5026494120	0.4973505880	0.5026494120	0.4973505880	0.0000000000	-0.0425013046	-0.2092026440	0.2092026440	0.0000000000	-0.0404092782	0.0000000000	-0.0404092782	0.4969464952	-0.0833633960
57	0.5700000000	0.4969464952	-0.0833633960	0.5030535048	0.4969464952	0.5030535048	0.4969464952	0.0000000000	-0.0414271475	-0.2412784955	0.2412784955	0.0000000000	-0.0390143625	0.0000000000	-0.0390143625	0.4965563516	-0.0809506111
58	0.5800000000	0.4965563516	-0.0809506111	0.5034436484	0.4965563516	0.5034436484	0.4965563516	0.0000000000	-0.0401965401	-0.2722722807	0.2722722807	0.0000000000	-0.0374738173	0.0000000000	-0.0374738173	0.4961816134	-0.0782278883
59	0.5900000000	0.4961816134	-0.0782278883	0.5038183866	0.4961816134	0.5038183866	0.4961816134	0.0000000000	-0.0388152398	-0.3020656164	0.3020656164	0.0000000000	-0.0357945836	0.0000000000	-0.0357945836	0.4958236676	-0.0752072321
60	0.6000000000	0.4958236676	-0.0752072321	0.5041763324	0.4958236676	0.5041763324	0.4958236676	0.0000000000	-0.0372895256	-0.3305453804	0.3305453804	0.0000000000	-0.0339840718	-0.0000000000	-0.0339840718	0.4954838268	-0.0719017783
